Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
4/1/2020,22,19,24,30,58,64,57,66,70,70,77,72,63,70,76,63,78,76,62,72,58,40,30,22
4/2/2020,32,27,28,36,40,62,68,65,66,70,69,70,74,69,76,68,77,77,69,73,56,37,26,27
4/3/2020,18,15,21,27,43,61,72,65,75,71,78,76,72,72,73,80,70,77,75,70,56,41,36,36
4/4/2020,18,20,20,38,46,56,72,72,78,79,85,77,78,70,74,77,74,76,72,74,54,48,34,27
4/5/2020,23,23,18,21,40,64,65,67,81,77,80,66,68,80,79,65,81,78,69,65,49,42,33,31
4/6/2020,20,21,27,29,47,56,77,62,80,70,69,72,67,75,75,66,80,74,82,73,55,40,30,24
4/7/2020,20,25,20,29,41,54,65,66,78,76,67,66,81,76,64,74,73,72,65,67,49,37,24,34
4/8/2020,29,22,26,36,43,49,61,68,62,69,73,81,70,67,73,69,74,60,71,63,48,39,26,23
4/9/2020,27,19,20,23,42,65,72,72,73,79,79,72,74,65,74,64,65,74,67,70,56,40,37,29
4/10/2020,25,18,20,32,46,56,57,67,72,74,77,78,71,73,76,73,63,66,64,61,53,44,35,35
4/11/2020,24,18,24,26,35,54,58,66,64,74,75,74,71,73,79,69,64,64,66,63,58,46,30,29
4/12/2020,24,25,17,21,42,55,62,64,68,64,78,81,73,72,75,70,74,81,75,70,57,48,34,37
4/14/2020,19,20,20,32,41,53,57,71,73,72,77,74,76,77,72,69,71,69,72,64,59,32,28,27
4/15/2020,20,25,28,27,38,59,48,64,75,67,75,69,65,75,75,65,78,79,65,61,54,50,33,37
4/16/2020,29,23,24,33,36,63,71,69,71,73,78,76,84,77,69,70,74,73,80,61,48,38,29,27
4/17/2020,18,21,26,35,44,53,67,56,68,66,71,69,67,67,74,67,74,74,79,63,61,52,36,26
4/18/2020,27,19,20,30,37,56,68,71,62,66,72,64,80,76,71,73,68,73,62,61,58,42,28,34
4/19/2020,31,31,28,36,40,55,71,66,70,66,63,66,61,64,58,67,66,72,76,59,53,51,31,28
4/20/2020,18,21,25,39,46,53,64,59,69,73,61,72,74,76,65,79,73,74,77,68,48,36,33,33
4/21/2020,28,28,25,31,46,62,65,67,67,71,76,84,85,76,79,79,70,73,70,60,45,45,31,29
4/22/2020,24,20,26,38,52,61,67,60,65,76,75,74,75,75,78,81,68,69,73,67,40,38,33,27
4/23/2020,15,17,26,33,50,58,61,72,76,73,70,69,58,65,77,63,66,78,81,65,47,32,31,25
4/24/2020,24,20,24,35,48,58,57,62,76,66,69,75,77,74,74,68,81,74,69,61,52,44,37,31
4/25/2020,17,16,16,30,34,57,55,52,66,73,72,65,68,71,68,73,76,77,68,71,63,45,38,26
4/26/2020,22,20,24,28,36,48,65,75,72,67,68,72,70,83,74,70,81,81,80,71,63,47,31,25
4/27/2020,19,22,27,33,46,57,55,61,73,76,73,72,72,68,75,68,75,84,76,68,60,40,35,28
4/28/2020,25,16,19,34,56,65,63,59,68,63,72,71,70,68,65,66,72,78,67,63,43,37,38,36
4/29/2020,16,16,19,31,53,57,57,61,70,59,70,66,72,67,72,61,72,67,78,64,56,34,30,31
4/30/2020,21,20,28,31,39,51,63,65,68,70,71,66,71,65,69,65,66,78,74,67,59,41,27,24
