Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
8/1/2019,15,19,20,38,52,69,64,57,52,62,59,54,63,60,65,60,56,56,62,62,50,44,26,12
8/2/2019,13,17,26,40,47,56,54,54,48,60,63,67,55,57,59,63,58,62,60,59,53,31,33,25
8/3/2019,22,19,27,34,41,57,54,50,59,54,56,56,50,57,56,62,49,60,62,57,48,39,31,24
8/4/2019,19,16,17,25,37,47,58,61,53,62,60,53,58,58,58,65,63,61,71,66,57,41,30,23
8/5/2019,18,20,24,42,50,61,60,65,72,77,65,66,67,65,63,66,65,65,64,65,49,37,30,23
8/6/2019,13,17,24,38,56,55,69,67,72,66,67,62,59,60,64,58,65,69,64,63,57,36,26,16
8/7/2019,10,20,22,41,44,58,66,74,75,71,66,65,69,60,76,70,71,63,77,64,52,37,32,19
8/8/2019,19,16,22,43,48,57,61,55,63,68,60,62,52,66,64,69,59,57,68,56,52,48,18,24
8/9/2019,14,13,23,37,47,52,64,55,63,57,51,63,62,64,67,64,60,62,61,62,54,35,25,23
8/10/2019,17,15,21,29,41,61,67,53,57,62,60,62,60,62,63,61,58,63,65,65,51,38,26,22
8/11/2019,18,14,16,21,43,57,59,67,56,61,61,56,63,62,55,55,57,58,63,66,54,35,22,14
8/12/2019,12,13,23,37,47,61,58,62,64,61,64,57,63,55,62,60,70,64,63,58,51,34,19,17
8/15/2019,14,22,24,30,45,59,55,63,67,75,67,63,64,62,67,48,65,64,66,58,46,30,26,25
8/16/2019,21,16,23,39,41,50,66,64,67,57,63,69,64,70,54,58,65,52,65,65,51,38,36,27
8/17/2019,19,18,26,37,45,46,52,63,69,67,59,69,57,64,68,63,52,57,57,58,54,42,26,25
8/21/2019,23,15,19,29,43,57,74,67,59,73,64,61,67,58,60,57,48,57,68,64,54,42,29,24
8/22/2019,17,15,24,38,43,56,59,71,66,76,63,62,65,73,60,64,62,54,61,62,67,43,25,27
8/23/2019,20,14,20,31,45,56,63,68,68,72,68,57,62,59,63,70,70,62,60,67,51,40,28,24
8/24/2019,20,17,22,32,42,62,74,65,68,64,68,56,67,62,60,55,65,55,64,52,55,39,29,23
8/25/2019,15,20,22,26,40,54,71,62,54,60,50,53,62,58,56,63,55,62,57,58,47,40,24,25
8/26/2019,21,19,31,40,50,59,59,62,62,66,59,64,68,66,58,67,66,63,63,62,49,33,28,21
8/27/2019,16,14,27,34,44,61,63,67,66,76,68,66,71,61,62,61,61,59,61,61,45,35,22,17
8/28/2019,14,16,28,34,52,57,58,60,63,74,64,61,78,73,66,68,63,60,63,70,52,38,21,22
8/29/2019,18,13,23,40,57,58,62,64,69,64,70,62,66,68,67,63,61,60,60,57,48,39,27,28
8/30/2019,24,22,31,43,49,61,70,59,60,54,64,57,66,66,62,61,59,55,48,61,59,45,30,18
8/31/2019,18,20,20,28,48,53,64,65,65,62,68,56,58,59,62,58,55,53,63,55,48,36,25,26
