Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
12/1/2019,18,17,24,30,38,54,56,59,70,70,57,58,56,60,60,61,65,60,60,58,38,29,23,17
12/2/2019,13,20,23,37,42,51,55,65,63,68,68,62,63,60,68,66,59,68,58,59,49,32,27,24
12/3/2019,17,17,23,37,51,62,63,61,59,63,66,59,52,56,58,52,57,42,58,52,45,31,19,17
12/4/2019,16,20,20,32,51,57,54,58,60,60,69,64,66,60,69,61,47,67,60,60,47,33,26,20
12/5/2019,15,22,29,38,55,55,64,64,63,54,60,59,55,58,60,62,50,58,64,63,52,26,23,20
12/6/2019,9,12,24,43,50,57,54,63,64,60,71,59,64,63,59,66,57,61,55,63,47,44,28,18
12/7/2019,16,20,23,25,40,60,61,54,54,55,54,53,59,50,51,56,55,70,58,57,49,43,35,30
12/8/2019,23,17,17,18,35,44,60,58,58,69,56,57,64,53,55,56,57,61,69,59,51,41,28,15
12/9/2019,17,20,26,42,41,60,58,64,68,66,71,64,57,64,66,60,55,64,60,58,54,33,25,27
12/10/2019,16,25,31,36,52,60,61,56,64,64,69,63,63,65,58,64,50,57,60,70,44,41,27,26
12/11/2019,22,20,26,43,53,58,61,62,64,64,62,60,55,63,64,61,56,58,64,67,53,44,24,16
12/12/2019,14,13,23,27,53,58,56,59,60,61,56,52,60,52,58,55,58,62,57,60,44,37,32,29
12/13/2019,16,17,22,38,43,60,59,57,64,55,56,60,61,65,56,64,51,50,56,62,45,39,29,23
12/14/2019,13,16,16,30,35,63,55,54,55,52,54,60,61,49,58,55,51,51,61,57,50,47,37,28
12/15/2019,22,16,19,24,35,54,55,59,55,65,67,59,63,54,52,53,60,55,58,58,47,39,29,26
12/16/2019,24,22,25,32,42,54,59,63,61,65,69,62,74,54,55,52,53,64,64,51,45,43,30,22
12/17/2019,18,17,18,35,43,62,52,62,56,63,62,60,64,69,67,59,61,57,68,59,45,41,23,23
12/18/2019,14,14,23,32,50,58,60,53,68,63,55,60,59,54,65,64,61,69,64,62,41,39,28,20
12/19/2019,9,13,26,33,54,64,58,64,66,60,57,55,65,70,62,61,57,63,62,52,52,39,33,18
12/20/2019,12,15,21,36,51,58,65,52,59,61,57,62,64,65,66,72,60,52,58,51,49,30,23,24
12/21/2019,14,18,23,29,45,49,57,57,61,61,62,62,69,68,71,58,67,62,56,53,53,43,36,26
12/22/2019,23,24,22,23,28,55,51,62,56,72,70,65,71,59,64,57,58,53,60,58,54,38,31,27
12/23/2019,21,23,20,34,47,62,54,49,54,52,62,62,57,68,58,50,56,61,67,59,44,40,22,27
12/24/2019,15,16,20,27,45,54,62,60,53,60,58,63,64,59,59,53,52,52,58,54,51,40,42,36
12/25/2019,25,19,17,24,31,59,58,65,66,66,63,58,57,58,70,64,54,64,65,63,56,45,33,29
12/26/2019,19,21,21,32,45,52,64,63,58,59,62,70,62,70,59,67,59,67,61,50,47,36,21,24
12/27/2019,17,13,24,32,47,60,69,59,57,64,67,64,60,57,50,55,56,59,71,64,48,37,27,22
12/28/2019,15,17,23,28,42,55,55,60,59,60,64,62,65,70,62,60,58,59,60,60,42,46,30,26
12/29/2019,24,20,15,20,37,58,60,65,60,53,57,64,64,57,70,58,61,64,71,63,51,47,35,25
12/30/2019,23,17,23,31,38,50,58,63,74,62,67,61,53,63,65,57,55,66,74,51,51,41,36,25
12/31/2019,14,21,25,35,48,59,63,66,69,66,60,64,53,68,70,65,61,61,56,60,61,62,54,30
