Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
1/1/2020,27,21,20,22,32,46,60,61,53,69,63,70,64,68,61,64,53,63,67,51,46,37,23,26
1/2/2020,20,24,21,35,49,57,59,58,57,60,67,60,60,66,55,68,67,57,64,65,52,38,33,19
1/3/2020,15,17,29,30,48,47,60,56,59,66,53,61,55,59,59,64,61,65,58,52,52,47,35,26
1/4/2020,22,16,18,23,36,48,57,51,57,58,60,63,66,58,60,62,55,54,56,57,60,48,37,32
1/5/2020,19,15,21,19,27,40,57,60,58,67,67,69,58,62,60,58,64,71,64,56,49,33,28,25
1/6/2020,18,26,30,34,49,58,57,61,59,67,60,61,63,68,64,64,57,58,63,59,50,34,28,20
1/7/2020,14,21,24,31,46,56,69,65,63,60,64,61,62,63,62,63,59,63,67,75,49,37,28,24
1/8/2020,23,23,26,30,50,63,68,63,66,69,60,66,63,58,58,62,57,58,63,65,50,31,26,22
1/9/2020,21,17,17,36,46,50,61,59,60,58,53,56,61,62,62,57,56,60,63,64,47,30,16,20
1/10/2020,16,14,23,33,38,57,63,59,60,47,60,59,65,51,60,61,58,54,61,63,58,43,28,18
1/11/2020,17,16,17,20,34,43,63,59,62,58,64,59,57,60,68,59,56,57,59,57,46,41,34,28
1/12/2020,24,15,17,21,36,52,67,62,64,56,65,61,61,52,68,63,59,57,68,61,55,36,27,25
1/13/2020,15,18,20,33,47,58,77,66,64,66,65,71,64,60,61,66,62,58,59,60,46,34,23,14
1/14/2020,14,17,25,33,47,58,69,67,68,56,60,66,69,72,64,56,52,61,73,66,59,34,27,19
1/15/2020,21,14,21,34,39,57,60,56,64,65,60,58,56,64,60,61,59,65,67,62,45,48,20,18
1/16/2020,17,12,20,31,45,56,60,67,76,67,64,66,61,62,61,64,60,58,59,59,56,36,26,25
1/17/2020,20,15,27,31,57,58,63,65,56,65,54,70,60,60,52,52,55,59,57,60,49,34,24,25
1/18/2020,20,15,17,26,38,51,56,56,59,58,60,58,58,58,63,60,57,63,58,64,56,47,32,29
1/19/2020,25,21,15,21,28,57,62,63,58,70,52,59,70,62,70,67,68,68,61,56,49,38,29,26
1/20/2020,22,20,23,25,48,53,61,56,60,61,57,62,54,61,68,66,59,65,62,68,48,38,28,24
1/21/2020,23,24,26,34,52,58,69,62,69,59,56,62,62,62,71,57,57,66,70,63,45,37,24,23
1/22/2020,19,16,21,28,47,63,71,61,59,65,57,62,64,64,56,61,59,56,60,59,49,35,31,25
1/23/2020,18,16,23,33,46,53,63,68,67,58,62,59,60,57,58,63,55,60,64,53,41,39,25,23
1/24/2020,16,18,27,35,48,54,61,58,63,57,53,61,54,66,61,51,57,63,63,57,47,37,25,20
1/25/2020,21,22,18,21,34,55,61,62,62,55,59,55,61,64,52,56,62,56,54,54,48,42,34,30
1/26/2020,24,22,16,19,37,45,64,64,58,69,69,64,76,65,70,60,64,56,60,69,55,35,29,32
1/27/2020,22,23,26,42,50,53,63,62,59,61,60,62,69,72,63,64,59,65,57,47,47,29,27,23
1/28/2020,19,13,25,34,50,53,58,58,64,66,63,63,60,64,62,58,60,63,67,64,43,38,22,17
1/29/2020,16,13,27,41,52,69,64,70,61,71,65,65,65,63,54,58,54,53,68,54,38,36,28,20
1/30/2020,18,24,28,41,58,51,61,67,60,66,62,56,57,54,61,54,58,60,61,58,53,39,29,22
1/31/2020,16,24,27,40,46,63,61,55,59,61,66,61,67,58,61,66,59,54,50,53,50,31,30,28
