Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
7/1/2019,20,18,24,40,36,53,56,55,62,63,74,62,65,70,60,63,62,65,61,57,48,32,29,19
7/2/2019,19,13,26,32,40,60,54,65,62,63,60,70,73,67,67,58,60,65,70,75,54,34,29,30
7/3/2019,17,18,21,37,43,56,61,58,64,63,72,55,58,57,57,59,61,64,56,61,53,40,22,23
7/4/2019,17,18,24,23,42,50,59,57,56,57,58,58,55,65,58,63,64,60,62,60,46,34,32,28
7/5/2019,19,22,24,33,51,57,60,63,58,55,64,68,59,61,60,61,55,68,61,67,57,41,25,23
7/6/2019,18,21,21,29,45,55,65,52,59,66,70,65,65,68,69,68,66,56,60,63,57,36,24,18
7/7/2019,21,25,25,31,43,57,66,59,68,69,63,62,63,68,50,67,61,72,72,73,52,35,29,23
7/8/2019,17,17,26,34,40,66,69,62,72,71,68,69,66,71,67,67,60,69,71,64,43,29,30,22
7/9/2019,16,18,27,44,43,67,67,69,64,73,71,63,70,68,57,67,66,60,63,61,55,42,29,16
7/10/2019,14,18,21,38,56,65,65,66,72,67,71,61,74,71,64,70,67,77,71,57,54,37,26,28
7/11/2019,18,19,27,44,48,63,68,61,59,67,69,61,71,73,69,59,62,61,65,61,48,35,28,24
7/12/2019,15,11,19,38,55,51,58,66,69,72,68,68,66,66,66,66,55,57,63,47,54,37,19,17
7/13/2019,16,15,20,30,37,49,64,67,60,52,62,62,57,62,61,65,59,65,56,60,50,39,27,25
7/14/2019,21,19,21,33,44,56,61,67,63,66,60,59,65,59,68,53,65,70,62,59,51,33,26,24
7/15/2019,14,17,22,38,44,56,65,58,68,68,61,68,59,69,72,62,62,66,70,62,40,33,28,18
7/16/2019,18,19,25,41,58,65,57,65,63,61,66,72,73,66,65,65,54,58,60,62,55,41,25,12
7/17/2019,18,18,17,34,49,62,64,61,66,66,65,56,67,63,62,63,61,65,65,65,41,31,28,21
7/18/2019,20,22,25,38,49,58,67,57,57,65,58,61,52,62,60,60,62,62,71,70,53,37,24,18
7/19/2019,14,15,23,36,53,56,69,56,67,63,60,57,60,71,61,59,54,57,62,55,48,42,31,26
7/20/2019,18,14,21,34,43,52,60,52,49,50,62,51,68,61,72,64,62,61,66,54,50,38,25,26
7/21/2019,21,21,23,23,36,56,62,63,64,62,71,58,73,68,65,60,64,70,68,60,42,29,15,20
7/22/2019,22,19,23,39,51,58,73,55,59,73,70,66,59,70,65,78,73,78,64,65,44,32,25,22
7/23/2019,19,18,27,34,54,59,61,68,67,74,61,68,64,70,65,58,62,70,67,58,48,32,28,22
7/24/2019,15,13,21,41,50,55,60,67,65,59,66,62,61,66,61,62,59,59,60,64,53,30,21,17
7/25/2019,15,18,29,37,55,58,52,56,61,63,60,66,74,62,66,67,60,64,69,60,49,34,26,24
7/26/2019,15,13,24,40,55,59,62,49,62,64,54,50,61,65,60,61,61,57,53,56,42,41,29,27
7/27/2019,17,19,24,28,40,55,60,60,69,62,52,54,58,58,62,53,55,55,52,56,48,37,29,20
7/28/2019,15,17,20,37,41,54,67,52,61,57,57,64,58,61,61,61,57,60,60,61,45,33,25,20
7/29/2019,18,16,24,41,51,57,56,62,69,66,61,60,67,60,64,61,60,63,65,63,54,28,25,16
7/30/2019,15,14,22,40,51,68,55,63,65,63,61,67,59,60,68,57,57,60,69,57,54,31,25,23
7/31/2019,15,14,24,43,50,63,60,63,61,63,64,60,69,66,60,61,67,63,63,67,47,40,25,16
