Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
6/1/2020,14,18,19,34,42,52,68,65,69,70,61,69,65,74,70,69,72,78,80,73,51,39,32,23
6/2/2020,19,20,21,38,52,62,68,76,67,61,71,66,64,64,66,69,70,71,71,67,57,38,25,28
6/3/2020,18,16,16,31,47,60,70,75,65,62,73,66,68,70,62,65,74,70,68,70,50,40,27,27
6/4/2020,17,13,19,35,49,55,56,67,62,68,60,61,65,63,70,66,69,71,73,67,55,42,32,27
6/5/2020,19,21,21,34,42,59,68,64,66,71,76,75,70,81,69,71,74,75,76,59,58,35,33,26
6/6/2020,21,19,16,33,37,61,71,64,70,65,66,68,67,71,69,72,73,77,67,65,55,40,24,22
6/7/2020,17,14,24,22,41,55,64,57,69,57,67,60,62,60,63,74,72,67,64,63,49,40,24,22
6/8/2020,15,16,24,39,44,54,55,64,71,65,62,66,66,62,61,72,71,69,76,59,51,33,27,24
6/9/2020,19,16,22,37,49,65,61,59,60,61,62,62,60,50,50,63,59,62,69,62,50,34,35,18
6/10/2020,18,19,21,30,44,59,74,65,63,63,70,66,61,67,62,69,67,74,71,70,54,41,29,18
6/11/2020,15,19,29,38,43,63,66,58,58,70,64,74,64,72,72,69,70,64,70,67,55,31,26,21
6/12/2020,13,21,26,38,46,59,67,61,68,62,62,66,68,59,62,61,63,73,71,58,54,39,21,23
6/13/2020,16,15,23,32,35,62,64,61,62,61,65,67,59,65,63,59,71,53,58,60,46,31,26,18
6/14/2020,15,17,19,29,40,47,48,68,66,59,60,54,60,62,59,57,62,69,71,59,43,41,29,23
6/15/2020,10,17,24,37,56,66,66,59,63,64,64,68,66,66,61,62,67,65,72,64,45,41,28,19
6/16/2020,21,25,27,39,49,60,63,64,68,59,68,54,62,68,71,62,65,72,71,71,51,39,29,18
6/17/2020,12,19,22,39,44,63,66,60,62,65,62,57,53,68,66,61,67,64,66,52,44,39,20,14
6/18/2020,19,19,26,33,51,59,57,64,70,63,67,59,55,62,72,64,65,57,56,52,43,30,27,20
6/19/2020,14,17,22,31,47,68,53,52,56,61,58,68,59,59,57,59,59,65,72,62,46,38,31,19
6/20/2020,18,12,20,31,40,66,62,54,61,74,59,64,59,58,69,67,66,65,65,55,56,43,27,29
6/21/2020,23,18,17,27,54,54,55,65,68,66,67,61,63,64,60,61,62,74,69,61,42,34,30,21
6/22/2020,19,20,25,33,48,57,69,66,61,61,70,61,60,57,57,68,68,67,67,66,45,34,28,27
6/23/2020,24,21,23,39,49,63,62,62,53,66,57,66,67,67,63,54,59,63,69,63,52,32,31,17
6/25/2020,22,21,21,29,50,54,67,64,58,51,59,68,67,60,62,62,64,61,64,64,61,36,28,21
6/26/2020,20,19,19,36,52,66,59,59,68,63,61,59,59,61,68,58,63,60,66,66,46,38,33,29
6/27/2020,20,18,22,36,47,54,67,69,64,56,55,63,64,64,66,65,69,69,66,56,48,36,34,28
6/28/2020,20,12,22,33,46,49,61,61,63,62,61,59,60,62,68,64,64,72,62,59,41,41,28,27
6/29/2020,24,19,22,38,51,64,64,63,65,64,63,68,73,65,76,68,64,64,72,58,53,44,28,29
6/30/2020,22,24,19,41,42,64,67,70,56,60,68,63,58,58,62,54,50,57,68,60,49,32,26,30
