Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
3/1/2020,19,16,20,17,38,54,61,59,54,72,60,64,63,60,55,65,54,64,63,46,40,35,23,27
3/2/2020,17,19,26,34,53,63,66,61,65,68,68,64,65,69,65,59,65,67,63,54,44,38,21,20
3/4/2020,19,23,27,40,48,55,65,57,67,65,64,60,45,56,58,58,54,63,70,74,49,31,20,18
3/5/2020,21,22,29,42,57,63,60,64,60,67,70,56,68,64,60,61,63,68,68,59,45,31,22,22
3/6/2020,22,22,28,41,51,62,60,56,61,55,67,58,69,71,65,64,55,56,58,42,38,33,27,23
3/7/2020,13,15,28,29,47,57,71,64,71,65,69,62,72,67,65,59,62,58,58,50,54,46,35,25
3/8/2020,14,14,0,16,33,44,55,57,66,69,71,68,63,68,64,58,67,67,59,66,51,31,22,17
3/9/2020,21,22,25,35,52,47,53,54,62,69,61,62,67,62,56,60,73,71,66,57,56,39,29,24
3/10/2020,25,27,26,36,44,62,59,66,61,58,60,60,64,66,63,61,57,70,73,65,49,40,25,21
3/11/2020,15,18,23,36,43,61,64,67,68,66,69,62,64,67,63,70,68,62,64,58,45,32,19,20
3/12/2020,15,23,24,39,50,57,66,67,71,69,65,66,60,67,62,58,62,70,60,60,50,32,25,21
3/13/2020,20,16,24,32,51,63,60,56,68,62,62,66,71,63,65,68,73,65,62,63,58,41,25,24
3/14/2020,18,18,15,30,49,55,60,65,66,65,66,65,69,61,60,69,63,67,65,65,60,49,32,24
3/15/2020,19,15,17,22,44,52,69,69,66,66,68,69,63,64,73,71,65,74,66,64,54,41,28,21
3/16/2020,17,19,27,35,52,65,65,57,72,75,70,60,75,70,81,77,65,77,74,63,41,33,20,19
3/17/2020,21,19,21,38,48,57,66,68,67,69,74,67,68,67,73,73,68,70,69,61,45,28,19,19
3/18/2020,21,20,26,36,55,67,65,66,66,70,70,69,73,73,76,75,73,79,73,69,53,40,27,20
3/19/2020,17,26,31,36,50,59,78,62,71,66,76,75,69,68,74,73,71,77,76,70,52,35,25,21
3/20/2020,20,22,25,40,49,61,67,72,77,80,72,68,67,72,71,70,75,71,67,68,49,40,35,24
3/21/2020,21,22,22,26,38,54,64,68,71,62,67,65,64,68,72,72,72,73,71,67,52,44,33,28
3/22/2020,20,21,21,28,36,55,74,79,81,81,75,83,78,74,70,75,81,68,68,64,60,36,33,25
3/23/2020,21,18,19,33,44,55,69,60,69,79,74,77,69,73,70,77,76,72,62,55,47,35,20,28
3/24/2020,18,21,28,32,47,58,71,68,69,71,72,69,79,68,63,70,65,80,66,65,56,38,22,22
3/25/2020,21,15,23,29,42,61,59,58,70,68,72,73,69,70,79,66,74,66,72,61,51,45,33,23
3/26/2020,13,19,24,35,51,52,61,66,75,77,69,67,63,61,68,82,73,78,78,70,60,40,33,26
3/27/2020,20,14,18,26,47,57,69,70,70,70,79,77,76,77,70,72,68,77,75,63,67,49,38,26
3/28/2020,19,21,16,27,37,55,69,69,78,76,77,69,70,71,84,76,65,70,69,61,52,47,36,29
3/29/2020,26,22,24,33,41,56,68,73,79,77,79,71,71,71,60,73,74,69,69,66,55,43,33,29
3/30/2020,24,19,26,35,47,63,69,75,70,72,65,75,80,62,72,63,67,69,77,69,56,40,34,23
3/31/2020,20,16,21,31,51,61,65,69,66,77,74,68,70,75,70,67,83,74,69,73,57,47,34,34
