Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
5/1/2020,16,15,21,33,43,55,58,65,60,67,66,62,71,74,69,71,70,72,73,61,50,35,28,24
5/2/2020,15,13,20,33,44,41,66,67,66,67,66,69,61,76,65,60,66,78,75,71,47,42,31,22
5/3/2020,17,17,19,26,40,51,62,67,65,66,71,67,66,68,60,69,67,79,79,61,51,43,35,24
5/4/2020,19,16,16,23,44,58,60,71,62,61,66,65,70,72,76,70,74,71,72,72,51,39,35,26
5/5/2020,23,18,19,39,49,49,56,69,62,74,71,61,71,70,61,71,70,74,69,75,53,38,28,30
5/6/2020,22,16,22,34,51,59,71,69,65,70,72,76,74,68,73,79,73,72,75,73,57,34,26,27
5/7/2020,14,18,25,37,43,62,60,67,62,68,69,60,73,72,71,48,67,79,81,63,57,40,31,23
5/8/2020,21,17,21,30,41,53,56,66,65,69,64,63,72,66,70,66,72,76,71,59,60,43,23,32
5/9/2020,16,18,21,31,47,49,72,77,76,70,68,69,72,72,69,73,74,75,60,69,57,47,32,26
5/10/2020,17,19,20,27,44,58,66,66,68,69,72,68,75,70,68,71,76,75,77,67,51,44,26,17
5/11/2020,11,13,12,31,44,59,65,64,65,64,61,75,64,73,66,68,60,82,73,66,56,41,23,18
5/12/2020,21,19,20,30,41,53,69,74,70,74,67,75,71,60,70,67,65,66,74,70,59,42,30,20
5/13/2020,14,12,17,30,57,64,71,62,65,64,61,65,76,71,68,67,75,72,82,66,49,34,27,22
5/14/2020,16,15,25,38,44,62,55,62,60,66,62,57,75,70,67,61,71,80,81,64,60,40,30,21
5/15/2020,19,17,25,30,47,54,64,59,70,66,73,73,73,72,73,73,72,75,70,69,46,42,34,32
5/16/2020,18,17,23,35,39,53,54,68,67,70,55,66,61,57,67,77,71,68,74,68,63,45,30,30
5/17/2020,25,20,18,33,40,56,60,63,75,75,57,69,78,69,75,80,83,82,76,61,55,37,32,27
5/18/2020,19,14,21,34,44,57,58,62,68,66,64,69,70,83,67,63,72,62,73,58,42,35,32,23
5/19/2020,23,16,20,35,52,60,64,70,65,68,64,64,67,72,64,78,77,70,76,60,47,35,23,26
5/20/2020,16,18,21,36,53,60,62,62,68,61,71,68,65,77,73,65,71,81,80,63,47,32,32,20
5/21/2020,8,18,21,35,53,71,61,66,66,68,59,57,60,65,61,63,69,72,79,73,59,33,29,20
5/22/2020,20,19,25,42,50,49,59,67,67,59,64,64,70,72,75,69,67,70,78,62,55,44,31,25
5/23/2020,18,14,20,23,42,54,70,76,69,72,73,74,71,69,67,72,69,72,60,68,57,50,36,27
5/24/2020,19,19,17,28,40,59,65,66,71,74,71,66,62,69,75,68,71,73,76,72,53,47,32,24
5/25/2020,19,14,19,34,40,53,65,65,75,73,77,78,69,66,63,71,77,68,75,67,51,44,23,20
5/26/2020,17,22,22,29,44,52,56,68,67,72,67,66,68,79,67,62,69,75,76,73,57,38,28,23
5/27/2020,14,18,17,35,49,58,64,65,72,67,61,55,66,71,66,71,72,69,77,62,43,32,28,21
5/28/2020,16,16,18,38,48,57,64,69,62,68,63,64,67,66,63,65,72,73,74,67,60,44,27,20
5/29/2020,18,12,16,28,49,64,66,67,66,59,66,72,76,72,69,64,66,71,70,69,56,38,28,25
5/30/2020,20,16,22,26,43,54,67,64,58,59,66,56,67,66,65,65,66,71,64,63,54,43,30,28
5/31/2020,16,11,16,22,30,50,60,69,57,62,62,63,62,70,67,61,73,75,71,76,50,38,27,19
