Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
11/1/2019,12,17,22,32,51,60,62,56,59,61,62,53,57,62,65,56,52,53,58,50,42,40,26,20
11/2/2019,16,11,19,18,35,49,59,57,61,52,51,58,65,54,54,53,51,46,60,59,51,39,30,27
11/3/2019,14,28,19,27,40,59,53,51,65,62,60,61,62,64,59,55,63,61,64,57,44,31,17,18
11/4/2019,11,19,21,40,46,52,61,59,59,60,66,71,66,58,61,57,61,67,60,61,50,36,20,20
11/5/2019,13,20,25,44,44,49,62,58,51,65,56,64,56,66,58,54,55,63,55,62,47,28,22,22
11/6/2019,14,20,22,38,48,45,51,52,58,57,60,56,60,70,64,58,56,50,57,59,46,27,17,17
11/7/2019,14,18,29,36,54,63,60,60,61,66,62,47,52,60,64,63,57,68,60,55,51,36,17,17
11/8/2019,12,16,22,38,53,64,58,55,63,51,54,65,56,64,55,51,54,65,57,50,44,31,23,20
11/9/2019,26,22,25,20,45,53,53,56,52,56,50,55,59,53,52,58,51,56,53,53,41,32,30,25
11/10/2019,12,10,20,20,40,49,53,61,57,64,65,55,61,57,59,53,58,51,59,56,40,35,24,21
11/11/2019,13,13,27,32,43,55,54,58,56,52,51,48,53,62,55,64,55,67,66,56,40,37,23,14
11/12/2019,15,19,21,33,47,54,62,71,63,63,66,60,48,67,69,57,53,57,61,59,38,30,27,17
11/13/2019,15,20,30,44,60,54,53,53,50,56,52,61,59,75,54,54,49,61,62,55,38,31,26,20
11/14/2019,12,24,24,34,54,57,61,63,59,52,56,60,50,63,59,56,55,58,73,53,35,36,32,18
11/15/2019,17,17,21,43,56,57,58,59,61,64,51,56,60,50,45,60,58,51,65,57,44,32,32,18
11/16/2019,19,22,22,24,37,48,55,62,56,63,57,65,64,67,60,59,48,41,49,58,52,48,36,25
11/17/2019,18,16,16,22,35,50,54,51,64,63,57,48,60,56,53,66,58,57,58,48,46,38,27,22
11/18/2019,21,21,24,40,48,65,61,63,57,57,52,62,54,58,58,59,57,62,59,54,39,35,24,23
11/19/2019,14,18,23,39,49,62,65,57,59,66,66,54,65,67,61,60,57,63,61,57,44,32,27,21
11/20/2019,17,21,29,50,55,55,66,60,63,52,62,58,58,50,51,50,50,60,58,56,48,32,25,20
11/21/2019,15,17,22,42,52,56,58,63,59,56,51,52,55,55,59,56,50,56,61,55,45,39,33,18
11/22/2019,14,16,28,41,44,54,63,51,59,63,63,58,51,57,49,58,61,65,58,54,45,36,30,27
11/23/2019,20,23,20,23,47,60,57,61,54,54,61,50,57,56,59,61,59,58,66,57,46,48,31,19
11/24/2019,9,16,26,29,36,51,54,50,54,58,56,60,58,52,56,51,61,58,50,52,42,42,32,25
11/25/2019,16,18,30,34,45,57,49,57,60,59,66,57,60,58,50,56,51,56,61,63,43,41,28,17
11/26/2019,22,18,21,39,53,54,62,53,57,68,63,55,61,54,61,53,52,54,60,57,52,34,31,17
11/27/2019,14,17,32,40,44,61,54,56,61,59,60,62,67,52,59,59,49,60,56,58,62,42,28,24
11/28/2019,20,14,19,27,47,53,51,52,65,67,63,65,53,60,59,54,54,62,55,58,45,48,26,24
11/29/2019,23,21,23,27,48,52,55,56,64,52,64,64,53,65,54,45,55,51,57,63,44,36,26,32
11/30/2019,21,26,23,27,38,57,58,68,57,69,62,65,54,51,60,53,57,59,66,61,46,39,35,31
