Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
10/1/2019,21,13,22,40,52,56,63,52,59,66,66,57,66,64,56,66,57,64,64,61,52,32,24,24
10/2/2019,14,15,19,40,51,64,57,68,64,62,71,66,65,64,62,57,61,58,52,55,49,31,26,22
10/3/2019,18,17,28,38,53,58,66,61,62,56,57,61,60,68,62,47,57,64,72,52,42,29,27,20
10/4/2019,17,11,16,35,43,54,58,62,60,60,62,63,63,61,63,67,56,64,59,63,53,37,24,17
10/5/2019,19,20,19,21,43,58,58,57,54,51,53,54,56,55,59,57,60,54,55,62,56,42,30,22
10/6/2019,19,16,16,26,43,51,58,63,57,62,60,53,54,55,62,50,52,66,62,47,41,36,30,20
10/7/2019,12,13,24,26,47,60,62,64,66,64,60,63,70,59,60,56,57,66,68,69,54,36,27,20
10/8/2019,20,14,27,36,44,58,65,58,64,72,64,65,68,64,68,62,57,63,59,59,46,36,25,21
10/9/2019,14,13,15,27,45,64,56,59,56,59,57,71,58,56,64,64,67,63,58,53,47,39,21,19
10/10/2019,17,7,18,37,43,52,68,48,57,60,56,58,58,58,64,64,43,68,60,58,50,41,29,15
10/11/2019,12,11,22,37,55,53,59,59,58,50,62,60,60,61,63,58,66,54,56,59,48,34,27,15
10/12/2019,19,12,14,22,44,61,66,61,52,58,65,60,59,67,62,54,65,57,53,60,50,38,25,17
10/13/2019,21,13,21,22,41,52,62,65,63,50,56,59,59,63,53,60,61,61,62,62,55,44,28,19
10/14/2019,20,20,21,28,47,59,61,57,55,62,58,64,59,59,65,62,65,73,68,65,52,32,23,25
10/15/2019,16,19,21,36,50,53,60,59,53,62,67,62,59,58,71,55,65,66,63,68,42,36,19,22
10/16/2019,19,20,22,34,48,45,60,59,60,66,57,54,61,54,66,68,62,64,60,54,43,37,23,20
10/17/2019,19,17,29,41,36,51,60,63,68,65,64,60,56,66,60,58,55,54,62,52,50,32,26,23
10/18/2019,18,15,22,36,51,57,57,57,59,56,60,57,52,58,57,53,60,55,59,60,50,39,24,19
10/19/2019,11,15,15,28,37,51,54,59,62,56,54,60,56,57,57,65,56,56,51,53,48,42,27,20
10/20/2019,19,13,22,28,36,47,65,59,64,62,53,63,68,67,55,66,65,66,58,62,42,34,24,22
10/21/2019,18,17,21,34,46,57,56,60,62,64,62,57,62,72,71,63,63,75,71,55,43,43,23,18
10/22/2019,18,18,23,36,50,65,63,59,59,61,56,63,66,63,67,60,68,56,61,65,54,31,20,18
10/23/2019,14,18,26,37,41,57,69,65,61,55,56,52,69,64,64,56,53,58,62,64,52,32,21,16
10/24/2019,15,17,33,34,52,62,68,61,57,53,56,59,62,63,56,60,57,64,59,66,52,39,36,24
10/25/2019,13,17,24,27,42,53,55,56,59,59,62,68,54,60,59,62,54,57,61,60,54,37,37,26
10/26/2019,20,22,16,25,36,51,52,51,65,62,59,48,51,50,55,49,51,51,58,53,54,36,21,25
10/27/2019,18,19,18,18,37,50,47,68,53,55,64,69,63,59,65,54,59,60,58,53,42,35,20,23
10/28/2019,22,19,25,38,50,56,59,63,58,59,66,66,58,72,66,65,57,63,61,64,47,31,21,24
10/29/2019,13,17,27,34,49,59,66,55,60,58,63,66,54,59,60,66,52,57,63,62,53,40,23,13
10/30/2019,11,20,26,40,57,66,57,68,49,65,62,63,55,64,57,56,61,61,70,57,52,43,29,17
10/31/2019,16,13,20,31,46,52,57,60,57,51,61,51,62,62,63,60,68,61,66,58,51,38,23,23
