Date,Daily Liked and Online - 0,Daily Liked and Online - 1,Daily Liked and Online - 2,Daily Liked and Online - 3,Daily Liked and Online - 4,Daily Liked and Online - 5,Daily Liked and Online - 6,Daily Liked and Online - 7,Daily Liked and Online - 8,Daily Liked and Online - 9,Daily Liked and Online - 10,Daily Liked and Online - 11,Daily Liked and Online - 12,Daily Liked and Online - 13,Daily Liked and Online - 14,Daily Liked and Online - 15,Daily Liked and Online - 16,Daily Liked and Online - 17,Daily Liked and Online - 18,Daily Liked and Online - 19,Daily Liked and Online - 20,Daily Liked and Online - 21,Daily Liked and Online - 22,Daily Liked and Online - 23
9/1/2019,24,17,18,20,30,48,55,64,60,59,51,59,63,64,56,56,62,57,67,62,50,41,31,26
9/2/2019,25,19,16,33,47,56,61,73,70,68,71,67,69,67,70,61,62,59,68,55,37,29,22,17
9/3/2019,17,18,22,35,45,61,59,64,68,62,70,68,69,69,58,61,68,60,58,67,43,37,32,26
9/4/2019,20,15,23,36,45,59,64,59,60,68,59,63,51,57,59,66,60,55,60,59,49,39,25,19
9/5/2019,14,24,28,39,51,62,58,62,59,62,56,60,59,63,67,62,53,71,60,60,50,44,31,21
9/6/2019,15,14,24,48,51,63,62,62,63,70,67,62,63,65,63,72,56,54,57,56,49,30,28,25
9/7/2019,22,19,18,25,42,55,63,55,58,57,64,63,66,67,63,75,62,55,56,52,53,42,34,26
9/8/2019,21,18,20,29,43,51,62,59,67,64,67,55,57,68,70,57,57,61,65,63,39,35,19,20
9/9/2019,17,21,25,37,49,56,60,60,68,67,73,63,62,67,74,59,51,68,69,57,46,28,28,17
9/11/2019,17,15,25,44,46,54,62,58,53,66,73,61,65,63,61,59,68,56,67,58,47,32,24,19
9/12/2019,14,20,27,30,58,58,64,61,57,61,63,56,54,57,69,56,56,57,60,56,45,36,26,15
9/13/2019,10,14,22,34,55,60,55,60,59,70,55,68,64,66,68,64,62,70,65,56,45,37,26,22
9/14/2019,17,14,21,31,43,49,57,63,72,60,63,59,62,69,67,68,69,60,55,62,47,38,37,25
9/15/2019,25,16,23,26,47,50,51,63,64,67,54,59,65,63,64,62,54,60,62,56,45,31,19,21
9/16/2019,16,20,23,34,55,59,67,56,69,61,66,64,61,70,68,67,69,71,57,57,44,27,21,25
9/17/2019,12,9,20,40,54,58,59,52,55,62,58,59,60,63,57,59,59,70,64,51,42,23,25,16
9/18/2019,13,15,25,47,56,60,59,56,64,56,61,65,55,67,74,73,57,67,57,56,48,29,22,17
9/19/2019,17,19,25,39,60,56,65,62,64,72,65,59,63,64,65,59,62,61,56,53,44,30,22,19
9/20/2019,19,19,21,39,47,55,63,60,57,63,69,68,66,64,58,48,53,62,58,60,49,53,27,21
9/21/2019,17,17,21,27,52,53,65,60,63,54,63,65,59,42,56,55,53,57,55,55,43,32,26,19
9/22/2019,16,18,24,23,37,56,71,63,58,57,65,60,56,60,69,55,65,71,54,46,34,36,37,19
9/23/2019,21,13,22,42,57,57,60,57,63,63,64,64,67,68,61,57,58,63,70,70,59,35,29,16
9/24/2019,14,18,21,46,48,60,63,61,66,60,51,62,63,67,59,67,66,68,76,78,68,39,32,26
9/25/2019,19,14,25,37,52,60,65,57,65,56,52,59,55,62,64,61,55,54,64,60,43,36,23,25
9/26/2019,17,18,31,37,58,71,54,66,70,67,61,69,59,56,48,58,61,67,60,64,50,35,29,17
9/27/2019,15,19,20,41,56,62,65,65,57,60,58,74,65,60,65,55,64,61,61,53,50,40,25,19
9/28/2019,16,20,21,27,46,61,59,62,55,54,50,50,57,61,61,53,54,56,52,57,57,39,33,21
9/29/2019,16,12,17,23,39,47,62,56,60,67,66,60,72,66,63,55,59,68,51,69,58,38,29,20
9/30/2019,16,16,30,26,48,62,64,59,66,64,62,61,72,63,68,68,57,63,65,60,51,32,21,23
