hashtag,instagram,facebook,twitter,linkedin,average
#delivery,19351828,848000,10003,186057,5098972
#deliveryservice,877994,50000,482,16278,236188.5
#deliveryfood,444653,35000,134,1067,120213.5
#localdelivery,90821,7200,81,336,24609.5
#localdeliveryavailable,6706,1600,2,12,2080
#localdeliveryservice,331,0,1,5,84.25
#deliverynyc,4340,0,0,0,1085
#nycdelivery,23259,0,5,98,5840.5
#fastdelivery,346029,8900,223,3988,89785
#newyork,102620773,364000,46015,204545,25808833.25
#nyc ,127705934,336000,8741,191743,32060604.5
#deliver,19351868,22000,276,15624,4847442
#ondemand,370314,11000,1966,27493,102693.25
